symbol,coarse_score,coarse_rank
STEX,-0.6214,402
BGI,-0.651,403
BYAH,-0.6706,404
WLDS,-0.6866,405
GLXG,-0.7071,406
EXEEL,-0.7273,407
BLIN,-0.7681,408
ORKT,-0.769,409
YJ,-0.8281,410
SER,-0.8467,411
CRGO,-0.8819,412
GOVX,-0.9313,413
FNWD,-0.9598,414
QNCX,-0.9831,415
SLSN,-1.0044,416
GENVR,-1.1204,417
GCTK,-1.1694,418
ELSE,-1.2354,419
JFBR,-1.5748,420
OLB,-1.6632,421
XWEL,-1.7616,422
ANEB,-1.8619,423
